21
mfugaji
mbuzi
ng’ombe
kuku
kondoro
shigi
koo
kifaranga
ngamia
beberu
Kuku kisingo
Bata nzinga
kisungura
bata
kama
ata

angua
yai
yai fuwiza
maziwa
maziwa mabivu
