23,
Mfugaji,
Mbuzi,
Ngo’mbe,
Kuku,
Kondoo,
Ndege,
Koo,
Kifaranga,
Ngamia,
Beberu,
Kuku kishingo,
Bata mzinga,
Sungura,
Bata,
Kama,kamua
Taga,
Chiachia,
Kutotoa,
Yai,
Yai viza,
Maziwa,
Mtindi,
