55
Maji kupwa
Maji kujaa
Kina cha maji
Maji makuu
Ufuo
Pwaa
Mwamba
Mvuvi
Samaki
Tafi
Kasia
Upo
Tangu
Mkundaji
Nguru
Papa
Jodari
Vunda
Elea
Zama
Lulu
Shaza
Kaa
Kasa
Pweza
Mkizi
Simu
Ndoana
Chambo
Mburukenge
Ogelea
Omo
Jahazi
Meli
Dau
Kihori
Tezi
Ngamani
Tanga
Ndoano
Oza
Nyongo
Mwiba (wa samaki)
Kupara
Vumba
Mto
Maji matamu
Maji chumvi
Ziwa
Bahari
Mtanga
Maji bahari
Mawimbi
Kuchafuka 
Shwari
