22
Mfugaji
Mbuzi
Ng'ombe
Kuku
Kondoo
Ndege
Koo
Kifaranga
Ngamia
Bebeeru
Kuku kishingo
Bata mzinga
Sungura
Bata
Kamua
Taga
Chia
Angua 
Yai
Yai viza
Maziwa
Mgando
